8A3,8C2,8E2,8F2,8H2,8I2,8K2,8L2,8M2,8N2,8Q2,8R2,8S2,8T2,8V2,8W2,8Y2
-4644.585902,-3983.924133,-5081.416417,-4514.775966,-4585.238282,-4647.280892,-4886.980102,-4406.016054,-4615.949958,-4738.992021,-4369.886081,-5002.982901,-4374.972444,-4610.488915,-4375.660203,-4610.874532,-4600.104698
-4731.740203,-3731.13617,-4981.023921,-4728.75063,-4468.229155,-4183.770142,-4897.772986,-4393.687258,-4403.99046,-4606.800379,-4783.869468,-4935.277559,-4478.247718,-4604.713479,-4489.279856,-4484.955249,-4561.967372
-4594.60647,-4007.485884,-4830.920941,-4606.848163,-4437.781301,-4620.13981,-5027.381083,-4356.311501,-4552.22527,-4580.293562,-4661.905236,-4928.935546,-4376.628151,-4702.788785,-4464.802075,-4613.499888,-4653.818318
-4599.386033,-3827.60025,-5091.217291,-4584.556232,-4510.863353,-4465.624146,-4937.528061,-4635.341555,-4414.798714,-4597.614547,-4626.38568,-4944.319759,-4562.831834,-4749.620941,-4397.361496,-4634.595811,-4722.578328
-4609.929102,-4103.046531,-5050.169278,-4534.984177,-4537.536624,-4404.018062,-4653.615496,-4544.503052,-4542.982829,-4546.43173,-4680.29002,-5022.639363,-4297.773551,-4367.876604,-4447.149882,-4349.078397,-4479.117913
-4694.969031,-3739.878757,-5066.060366,-4509.290128,-4486.67246,-4461.960633,-5038.447095,-4398.202705,-4666.903242,-4466.386708,-4482.39173,-4972.204864,-4429.261754,-4686.32822,-4311.252946,-4569.580587,-4585.042565
-4618.653913,-3968.429997,-4991.59886,-4505.416745,-4608.673369,-4550.443637,-4979.822589,-4493.48544,-4495.914499,-4603.038506,-4618.413847,-4946.698008,-4541.685954,-4598.659635,-4237.633264,-4379.758155,-4451.31755
-4451.852571,-4040.560234,-5104.806625,-4503.676083,-4501.327472,-4356.952504,-4911.919573,-4362.175447,-4592.16317,-4679.631782,-4786.294089,-5088.259137,-4509.066068,-4672.896666,-4526.532424,-4539.236699,-4434.078058
-4683.337911,-4055.928557,-4899.544739,-4487.890245,-4498.583038,-4356.160812,-4872.255594,-4419.187526,-4260.306575,-4765.9307,-4736.368834,-5037.908103,-4446.362743,-4452.833114,-4388.404287,-4652.132119,-4407.657584
-4551.773428,-3929.090705,-4953.466042,-4446.528181,-4553.741199,-4387.414283,-4976.468916,-4543.470799,-4710.571931,-4811.273922,-4672.280819,-5116.082049,-4389.732894,-4566.042693,-4411.436623,-4415.996738,-4541.702301
-4558.923605,-3906.404047,-4940.889472,-4428.478306,-4538.729381,-4186.276694,-4916.393251,-4349.904188,-4597.937502,-4623.258586,-4644.961873,-5186.124718,-4620.647586,-4641.144459,-4613.37498,-4580.229704,-4536.094571
-4665.702007,-3934.822596,-4993.734648,-4595.127495,-4635.617942,-4485.145043,-4997.621087,-4458.623232,-4669.711794,-4538.181297,-4667.82341,-4904.13418,-4538.859422,-4356.41636,-4529.590807,-4657.756397,-4613.806976
-4640.05035,-3797.292147,-4790.682247,-4411.392124,-4531.491288,-4427.579537,-5153.633142,-4498.656057,-4649.466403,-4440.983685,-4769.07451,-4959.838292,-4549.934977,-4594.029183,-4509.364765,-4532.148528,-4630.513605
-4472.960273,-3825.519427,-4931.264298,-4581.655952,-4575.551217,-4557.863537,-4715.552001,-4451.314547,-4557.210476,-4531.336079,-4622.80745,-5089.185444,-4519.689599,-4656.029124,-4415.783764,-4553.986374,-4717.285683
-4540.774217,-3721.123176,-4925.463304,-4508.544092,-4550.943157,-4518.130839,-4903.199203,-4588.305294,-4517.810458,-4449.177379,-4844.115414,-4765.840229,-4388.494363,-4550.344013,-4650.107637,-4496.869037,-4682.516184
